date,Open,Close,High,Low,Volume,timestamp
2018-01-07,18343.6624934071,17039.8739138488,18343.6624934071,14093.6068305274,16385.178543092843,1515283200
2018-01-08,17039.8739138488,15900.3650216006,18343.6624934071,15321.9328517642,16643.286856103303,1515369600
2018-01-09,15900.3650216006,15604.7234082405,18343.6624934071,15583.8855377593,16683.685507028487,1515456000
2018-01-10,15604.7234082405,15509.2701268168,18343.6624934071,15509.2701268168,16673.026162608126,1515542400
2018-01-11,15509.2701268168,14050.5696063543,18343.6624934071,14050.5696063543,16397.912507205314,1515628800
2018-01-12,14050.5696063543,14759.294629915,18343.6624934071,14050.5696063543,15886.822742883302,1515715200
2018-01-13,14759.294629915,15193.3148979847,17039.8739138488,14050.5696063543,15436.773086394389,1515801600
2018-01-14,15193.3148979847,14476.5889713691,15900.3650216006,14050.5696063543,15070.589523183002,1515888000
2018-01-15,14476.5889713691,14411.9977069182,15604.7234082405,14050.5696063543,14857.965621085514,1515974400
2018-01-16,14411.9977069182,11723.9135206658,15509.2701268168,11723.9135206658,14303.564208574842,1516060800
2018-01-17,11723.9135206658,11415.3928442768,15193.3148979847,11415.3928442768,13718.724596783415,1516147200
2018-01-18,11415.3928442768,11569.4249920858,15193.3148979847,11415.3928442768,13364.27536617363,1516233600
2018-01-19,11569.4249920858,11758.4693327652,15193.3148979847,11415.3928442768,12935.58603800937,1516320000
2018-01-20,11758.4693327652,13260.2711872786,14476.5889713691,11415.3928442768,12659.43693647993,1516406400
2018-01-21,13260.2711872786,11703.5048628599,14411.9977069182,11415.3928442768,12263.282063835755,1516492800
2018-01-22,11703.5048628599,10991.5950130802,13260.2711872786,10991.5950130802,11774.653107573187,1516579200
2018-01-23,10991.5950130802,10894.0009053405,13260.2711872786,10894.0009053405,11656.094162526711,1516665600
2018-01-24,10894.0009053405,11277.1159704489,13260.2711872786,10894.0009053405,11636.340323408442,1516752000
2018-01-25,11277.1159704489,11225.2544568853,13260.2711872786,10894.0009053405,11587.173104094083,1516838400
2018-01-26,11225.2544568853,11044.9072365744,13260.2711872786,10894.0009053405,11485.235661781117,1516924800
2018-01-27,11044.9072365744,11456.2135062799,11703.5048628599,10894.0009053405,11227.513135924157,1517011200
2018-01-28,11456.2135062799,11665.6969300847,11665.6969300847,10894.0009053405,11222.112002670558,1517097600
2018-01-29,11665.6969300847,11157.6638878978,11665.6969300847,10894.0009053405,11245.8361276445,1517184000
2018-01-30,11157.6638878978,11095.2106891266,11665.6969300847,11044.9072365744,11274.580382471086,1517270400
2018-01-31,11095.2106891266,9989.68977659669,11665.6969300847,9989.68977659669,11090.662354777916,1517356800
2018-02-01,9989.68977659669,10114.495086226,11665.6969300847,9989.68977659669,10931.982444683726,1517443200
2018-02-02,10114.495086226,9070.55544937356,11665.6969300847,9070.55544937356,10649.93218936932,1517529600
2018-02-03,9070.55544937356,8830.16351005472,11665.6969300847,8830.16351005472,10274.78218990858,1517616000
2018-02-04,8830.16351005472,8994.91486607664,11157.6638878978,8830.16351005472,9893.241895050289,1517702400
2018-02-05,8994.91486607664,8315.51749143615,11095.2106891266,8315.51749143615,9487.220981270051,1517788800
2018-02-06,8315.51749143615,6852.05270051491,10114.495086226,6852.05270051491,8881.055554325523,1517875200
2018-02-07,6852.05270051491,7711.2203289411,10114.495086226,6852.05270051491,8555.559918946154,1517961600
2018-02-08,7711.2203289411,7611.61027778882,9070.55544937356,6852.05270051491,8198.004946312272,1518048000
2018-02-09,7611.61027778882,8208.57208449673,8994.91486607664,6852.05270051491,8074.864465615581,1518134400
2018-02-10,8208.57208449673,8650.71675042998,8994.91486607664,6852.05270051491,8049.2292142406195,1518220800
2018-02-11,8650.71675042998,8574.67763849023,8650.71675042998,6852.05270051491,7989.195324585417,1518307200
2018-02-12,8574.67763849023,8168.63777979963,8650.71675042998,6852.05270051491,7968.212508637343,1518393600
2018-02-13,8168.63777979963,8911.3985742083,8911.3985742083,7611.61027778882,8262.404776307827,1518480000
2018-02-14,8911.3985742083,8518.26907619091,8911.3985742083,7611.61027778882,8377.697454486371,1518566400
2018-02-15,8518.26907619091,9428.02560716167,9428.02560716167,8168.63777979963,8637.185358682493,1518652800
2018-02-16,9428.02560716167,10112.5801434467,10112.5801434467,8168.63777979963,8909.18650996106,1518739200
2018-02-17,10112.5801434467,10155.2770555258,10155.2770555258,8168.63777979963,9124.12369640332,1518825600
2018-02-18,10155.2770555258,11006.647685962,11006.647685962,8168.63777979963,9471.547988899289,1518912000
2018-02-19,11006.647685962,10523.429305801,11006.647685962,8518.26907619091,9807.946778328054,1518998400
2018-02-20,10523.429305801,11103.0900361497,11103.0900361497,8518.26907619091,10121.045558605398,1519084800
2018-02-21,11103.0900361497,11502.3770496396,11502.3770496396,9428.02560716167,10547.346697669494,1519171200
2018-02-22,11502.3770496396,9973.59211951887,11502.3770496396,9973.59211951887,10625.284770863382,1519257600
2018-02-23,9973.59211951887,10032.863112314,11502.3770496396,9973.59211951887,10613.89662355871,1519344000
2018-02-24,10032.863112314,10301.883609336,11502.3770496396,9973.59211951887,10634.840416960167,1519430400
2018-02-25,10301.883609336,9742.62819006538,11502.3770496396,9742.62819006538,10454.26620326065,1519516800
2018-02-26,9742.62819006538,9699.51718151529,11502.3770496396,9699.51718151529,10336.564471219835,1519603200
2018-02-27,9699.51718151529,10355.5781264856,11502.3770496396,9699.51718151529,10229.777055553535,1519689600
2018-02-28,10355.5781264856,10709.3884310463,10709.3884310463,9699.51718151529,10116.49296718306,1519776000
2018-03-01,10709.3884310463,10346.664931035,10709.3884310463,9699.51718151529,10169.78908311394,1519862400
2018-03-02,10346.664931035,10859.5521943893,10859.5521943893,9699.51718151529,10287.887523410409,1519948800
2018-03-03,10859.5521943893,11098.0758092511,11098.0758092511,9699.51718151529,10401.629266255424,1520035200
2018-03-04,11098.0758092511,11356.0416016724,11356.0416016724,9699.51718151529,10632.116896484997,1520121600
2018-03-05,11356.0416016724,11286.6762891691,11356.0416016724,10346.664931035,10858.853911864117,1520208000
2018-03-06,11286.6762891691,11526.4209302906,11526.4209302906,10346.664931035,11026.117169550542,1520294400
2018-03-07,11526.4209302906,10727.716249205,11526.4209302906,10346.664931035,11028.7354292875,1520380800
2018-03-08,10727.716249205,9999.68248604677,11526.4209302906,9999.68248604677,10979.166508574895,1520467200
2018-03-09,9999.68248604677,9420.85488958591,11526.4209302906,9420.85488958591,10773.638322174413,1520553600
2018-03-10,9420.85488958591,9276.33759031006,11526.4209302906,9276.33759031006,10513.390005182831,1520640000
2018-03-11,9276.33759031006,8890.86580399612,11526.4209302906,8890.86580399612,10161.222034086222,1520726400
2018-03-12,8890.86580399612,9512.45611286134,11526.4209302906,8890.86580399612,9907.7620088994,1520812800
2018-03-13,9512.45611286134,9232.70587979953,10727.716249205,8890.86580399612,9580.088430257818,1520899200
2018-03-14,9232.70587979953,9216.53097626842,9999.68248604677,8890.86580399612,9364.204819838307,1520985600
2018-03-15,9216.53097626842,8307.22338626638,9512.45611286134,8307.22338626638,9122.424948441108,1521072000
2018-03-16,8307.22338626638,8359.36528334063,9512.45611286134,8307.22338626638,8970.783576120355,1521158400
2018-03-17,8359.36528334063,8520.00815917187,9512.45611286134,8307.22338626638,8862.736514529184,1521244800
2018-03-18,8520.00815917187,8063.4097921227,9512.45611286134,8063.4097921227,8744.528512832982,1521331200
2018-03-19,8063.4097921227,8217.84219996114,9232.70587979953,8063.4097921227,8559.583668132953,1521417600
2018-03-20,8217.84219996114,8640.52143024258,9216.53097626842,8063.4097921227,8474.985889624817,1521504000
2018-03-21,8640.52143024258,8926.82049620007,8926.82049620007,8063.4097921227,8433.598678186481,1521590400
2018-03-22,8926.82049620007,8970.31790627893,8970.31790627893,8063.4097921227,8528.326466759701,1521676800
2018-03-23,8970.31790627893,8736.38576909829,8970.31790627893,8063.4097921227,8582.186536153653,1521763200
2018-03-24,8736.38576909829,8824.59283177853,8970.31790627893,8063.4097921227,8625.698632240319,1521849600
2018-03-25,8824.59283177853,8621.15079225785,8970.31790627893,8217.84219996114,8705.375917973912,1521936000
2018-03-26,8621.15079225785,8478.63819558905,8970.31790627893,8478.63819558905,8742.6324887779,1522022400
